Empresa;Ano;Dado Extraído;Valor;Fonte (Texto Original);Página;Unidade;status_auditoria;notas_auditor
ELETROBRAS ;2022;percentual_mulheres_lideranca;24.0;Em 2022, 24% dos cargos de gerência eram ocupados por mulheres, superando os 19% de mulheres no total de colaboradores da empresa.;94, 90, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_mulheres_gerencia;24.0;Em 2022, 24% dos cargos de gerência eram ocupados por mulheres, superando os 19% de mulheres no total de colaboradores da empresa.;94, 90, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_mulheres_total;19.0;19% de mulheres no total de colaboradores da empresa;94, 91, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_homens_gerencia;76.0;Empregados (gerencial), por gênero (%) Total de empregados, por gênero (%) 22 22 24 19 19 19 2020 2021 2022 2020 2021 2022 78 78 76 81 81 81 Homens Homens Mulheres Mulheres;1, 90, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_homens_total;81.0;Total de empregados, por gênero (%) 2020 2021 2022 81 81 81 Homens;93, 91, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_negros_lideranca;25.1;Liderança 22 1 22 1 25,1 1,4;113, 94, 95, 118, 154;%;Inconsistente;
ELETROBRAS ;2022;percentual_negros_empregados;38.4;Negros, pardos, amarelos e indígenas 14,0 25,1 38,4;91, 99, 95, 118, 154;%;Inconsistente;
ELETROBRAS ;2022;percentual_pcd_lideranca;1.4;Liderança 22 1 22 1 25,1 1,4;94, 183, 99, 95, 118;%;Validado;
ELETROBRAS ;2022;percentual_pcd_empregados;2.7;Empregados 36 2 34 2 38,4 2,7;91, 99, 95, 118, 154;%;Validado;
ELETROBRAS ;2022;percentual_empregados_ate_30;26.03;Taxa de admissão 26,03% 0,57% 0,25%;93, 188, 91, 99, 95;%;Inconsistente;
ELETROBRAS ;2022;percentual_empregados_30_50;57.3;Empregados 0,7 57,3 41,9;93, 91, 99, 95, 81;%;Validado;
ELETROBRAS ;2022;percentual_empregados_acima_50;41.9;Empregados 0,7 57,3 41,9;93, 91, 99, 95, 81;%;Validado;
ELETROBRAS ;2022;percentual_lideranca_ate_30;0.1;Liderança 0,1 73,7 26,2;93, 90, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_lideranca_30_50;73.7;Liderança 0,1 73,7 26,2;93, 90, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_lideranca_acima_50;26.2;Liderança 0,1 73,7 26,2;90, 183, 99, 95, 154;%;Validado;
ELETROBRAS ;2022;percentual_governanca_ate_30;0.1;Membros de órgãos de governança 0 36 64 0 34 66 0 38,8 61,2 Liderança 0 74 26 0 72 28 0,1 73,7 26,2 Empregados 2 60 38 1 59 40 0,7 57,3 41,9;90, 183, 95, 118, 184;%;Inconsistente;
ELETROBRAS ;2022;percentual_governanca_30_50;38.8;Membros de órgãos de governança 0 36 64 0 34 66 0 38,8 61,2;93, 90, 183, 95, 118;%;Validado;
ELETROBRAS ;2022;percentual_governanca_acima_50;61.2;Membros de órgãos de governança 0 36 64 0 34 66 0 38,8 61,2;90, 183, 95, 118, 42;%;Validado;
ELETROBRAS ;2022;percentual_governanca_negros;0.0;Membros de órgãos de governança 0 0 0 0 14,0 0;113, 94, 95, 118, 154;%;Inconsistente;
ELETROBRAS ;2022;percentual_governanca_pcd;0.0;Membros de órgãos de governança 0 0 0 0 14,0 0;94, 183, 95, 170, 118;%;Validado;
ELETROBRAS ;2022;percentual_mulheres_lideranca;24.0;Em 2022, 24% dos cargos de gerência eram ocupados por mulheres, superando os 19% de mulheres no total de colaboradores da empresa.;94, 90, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_mulheres_gerencia;24.0;Em 2022, 24% dos cargos de gerência eram ocupados por mulheres, superando os 19% de mulheres no total de colaboradores da empresa.;94, 90, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_mulheres_total;19.0;19% de mulheres no total de colaboradores da empresa;94, 91, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_homens_gerencia;76.0;Empregados (gerencial), por gênero (%) Total de empregados, por gênero (%) 22 22 24 19 19 19 2020 2021 2022 2020 2021 2022 78 78 76 81 81 81 Homens Homens Mulheres Mulheres;1, 90, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_homens_total;81.0;Total de empregados, por gênero (%) 2020 2021 2022 81 81 81 Homens;93, 91, 183, 99, 95;%;Validado;
ELETROBRAS ;2022;percentual_negros_lideranca;25.1;Liderança 22 1 22 1 25,1 1,4;113, 94, 95, 118, 154;%;Inconsistente;
ELETROBRAS ;2022;percentual_negros_empregados;38.4;Negros, pardos, amarelos e indígenas 14,0 25,1 38,4;91, 99, 95, 118, 154;%;Inconsistente;
