empresa;ano_relatorio;Dado Extraído;Valor;Fonte (Texto Original);Página;ano;data_extracao;status_auditoria;notas_auditor;auditado_por;data_auditoria;arquivo_origem
NEOENERGIA;2024;percentual_mulheres_total;0.21;No fim de 2024, nossas equipes contavam com 21% de mulheres;76;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_homens_total;0.79;No fim de 2024, nossas equipes contavam com 21% de mulheres;75, 76;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_mulheres_lideranca;0.33;33,0% de mulheres na alta administração;76;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_homens_lideranca;67.0;33,0% de mulheres na alta administração;76;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_pcd_total;19.2;Total (%) 78,8 % 79,6 % 80,8 % 21,2 % 20,4 % 19,2 %;76, 71;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_pcd_mulheres;4.9;4,9 % 0,9 % 0,9 % 0,9 % Total (%) 78,8 % 79,6 % 80,8 % 21,2 % 20,4 % 19,2 % EMPREGADOS COM DEFICIÊNCIA (Nº) POR GÊNERO GRI 405-1 |ODS 5.1, 5.5, 8...;76, 71;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_pcd_homens;19.2;Total (%) 78,8 % 79,6 % 80,8 % 21,2 % 20,4 % 19,2 %;76, 71;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_funcionarios_menor_30;24.0;24 | 76;76;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_funcionarios_30_50;21.0;No fim de 2024, nossas equipes contavam com 21% de mulheres;76;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_funcionarios_maior_50;0.212;Total (%) 78,8 % 79,6 % 80,8 % 21,2 % 20,4 % 19,2 %;76, 71;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_lideranca_menor_30;32.8;32,8% em cargo de alta liderança (a apenas duas categorias do CEO);75, 76;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_lideranca_30_50;0.0;;75, 76;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_lideranca_maior_50;0.3279999999999999;32,8% em cargo de alta liderança (a apenas duas categorias do CEO);76;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_energia_renovavel;0.88;Somamos uma capacidade instalada em operação de 4.412 MW, dos quais 88% são de fontes renováveis.;98, 49, 9, 37, 31;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_reducao_emissoes_escopo_1;0.06;investimentos nesse programa somaram R$ 152,1 milhões em 2024, valor 6% inferior ao aplicado em 2023, beneficiando 220 mil unidades consumido;98, 49, 37, 31, 26;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_reducao_emissoes_escopo_2;0.06;investimentos nesse programa somaram R$ 152,1 milhões em 2024, valor 6% inferior ao aplicado em 2023;98, 49, 37, 31, 26;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_reducao_emissoes_escopo_3;0.06;O número de acidentes com a comunidade reduziu-se 6% em relação a 2023.;98, 49, 31, 95, 26;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_negros_total;0.8;A distribuidora tem em seu quadro funcional 80% de profissionais negros;75, 77, 76, 71;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_negros_lideranca;0.3;mas apenas 30% deles em cargos de liderança;75, 76, 71;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
NEOENERGIA;2024;percentual_contratacoes_negros;0.5;sendo 50% das contratações de pessoas negras;75, 77, 71;2024;2026-02-09 16:40:31;Pendente;;brena;2026-02-09 20:47:35;resultado_NEOENERGIA_2024.csv
