empresa;ano_relatorio;Dado Extraído;Valor;Fonte (Texto Original);Página;ano;data_extracao
Relatorio-IntegradoNatura-e-Co-2024;2024;total_colaboradores;14.806;14.806 pessoas colaboradoras diretas;76, 73, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_homens;0.39;39% homens;47, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_mulheres;0.61;61% mulheres;47, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;colaboradores_brasil;8.482;8.482 no Brasil;73, 72, 147, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;colaboradores_america_hispanica;6.324;6.324 na América Hispânica;47, 48, 73, 72;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_grupos_sub_representados;0.16;desse total, 16% correspondem a pessoas de grupos sub-representados;47, 48, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_cargos_gerenciais_grupos_sub_representados;0.15;15% ocupam cargos gerenciais.;47, 48, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_pessoas_com_deficiencia;0.11;Temos 11% com deficiência, valorização da diversidade sexual de pessoas;76, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_mulheres_cargos_gerenciais;0.15;15% ocupam cargos gerenciais.;47, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_homens_cargos_gerenciais;0.39;39% homens;47, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_america_latina;0.92;a favorabilidade do engajamento, medida em pesquisa com adesão de 92% das pessoas colaboradoras na América Latina;47, 73, 72;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_outros_paises;0.39;39% homens;47, 73, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_negros;0.16;desse total, 16% correspondem a pessoas de grupos sub-representados;47, 48, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_brancos;0.491;na 49,1%. Número afetado;47, 48, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_outros_grupos_raciais;0.16;desse total, 16% correspondem a pessoas de grupos sub-representados;48, 73, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_jovens;0.16;desse total, 16% correspondem a pessoas de grupos sub-representados;47, 73, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_meia_idade;0.16;desse total, 16% correspondem a pessoas de grupos sub-representados;47, 73, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_idosos;0.16;desse total, 16% correspondem a pessoas de grupos sub-representados;47, 73, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_lgbtq;0.11;Temos 11% com deficiência, valorização da diversidade sexual de pessoas;76, 73, 72, 77;2024;2025-12-19 11:50:22
Relatorio-IntegradoNatura-e-Co-2024;2024;percentual_colaboradores_indigenas;0.16;desse total, 16% correspondem a pessoas de grupos sub-representados;47, 73, 72, 77;2024;2025-12-19 11:50:22
