Dado Extraído;Valor;Fonte (Texto Original);Página
percentual_mulheres_lideranca_2022;24.0;Em 2022, 24% dos cargos de gerência eram ocupados por mulheres, superando os 19% de mulheres no total de colaboradores da empresa.;94, 183, 90, 95, 99
percentual_mulheres_total_2022;19.0;19% de mulheres no total de colaboradores da empresa;94, 183, 95, 99, 91
percentual_homens_lideranca_2022;73.7;Liderança 0,1 73,7 26,2;183, 90, 95, 34, 99
percentual_homens_total_2022;81.0;Total de empregados, por gênero (%) 2020 2021 2022 Homens 81 81 81 Mulheres 19 19 19;93, 183, 95, 99, 91
percentual_pcd_lideranca_2022;1.4;Liderança 22 1 22 1 25,1 1,4;181, 94, 183, 95, 118
percentual_pcd_total_2022;2.7;Em todos os itens sobre número de empregados por grupos minoritários - pessoas com deficiência - masculino/feminino, são computadas as pessoas que se autodeclaram com deficiência física, visual e auditiva. [...] Pessoas com deficiência 0 1,4 2,7;154, 89, 118, 95, 99
percentual_negros_lideranca_2022;25.1;Liderança 22 1 22 1 25,1 1,4;94, 183, 90, 95, 118
percentual_negros_total_2022;38.4;Negros, pardos, amarelos e indígenas 14,0 25,1 38,4;94, 95, 118, 99, 91
percentual_empregados_ate_30_2022;0.69;ABAIXO DE 30 ANOS 69;93, 95, 188, 99, 91
percentual_empregados_30_50_2022;0.5885;ENTRE30 E 50 ANOS INTEGRAL INTEGRAL 5.897;93, 95, 188, 99, 91
percentual_empregados_acima_50_2022;0.4046;Empregados com mais de 50 anos: 4.054 de um total de 10.020 empregados.;93, 95, 188, 99, 91
percentual_lideranca_ate_30_2022;0.0;Disponibilidade Operacional de transformadores - DISPOTR | % | 99,68 | 99,84 | ND | 99,69 | Resultado não disponível.;154, 183, 90, 99, 184
percentual_lideranca_30_50_2022;73.7;Liderança 0,1 73,7 26,2;90, 1, 118, 95, 99
percentual_lideranca_acima_50_2022;26.2;Liderança 0,1 73,7 26,2;90, 1, 118, 95, 99
percentual_governanca_ate_30_2022;0.1;Até 30 anos 0 0,1 0,7;93, 183, 95, 118, 184
percentual_governanca_30_50_2022;38.8;Membros de órgãos de governança 0 38,8 61,2;93, 183, 90, 118, 95
percentual_governanca_acima_50_2022;61.2;Membros de órgãos de governança 0 36 64 0 34 66 0 38,8 61,2;93, 183, 118, 95, 42
percentual_energia_renovavel_2022;0.97;Aproximadamente 97% da capacidade instalada da Eletrobras provêm de fontes com baixa emissão de GEE - hídrica, eólica e solar.;70, 71, 81, 26, 157
percentual_reducao_emissoes_escopo_1_2022;-33.3;Escopo 1 5.942.678 3.958.097 -33,3;185, 189, 128, 26, 184
percentual_reducao_emissoes_escopo_2_2022;-66.9;Escopo 2 948.208 313.886 -66,9;185, 189, 128, 81, 184
