Empresa;Ano;Dado Extraído;Valor;Fonte (Texto Original);Página
ENGIE;2022;quantidade_homens_ate_29;114.0;Colaboradores por faixa etária e gênero Homens Mulheres Total Até 29 anos 114 85 199;62, 154, 153, 155, 56
ENGIE;2022;quantidade_mulheres_ate_29;85.0;Colaboradores por faixa etária e gênero Homens Mulheres Total Até 29 anos 114 85 199;107, 62, 154, 153, 155
ENGIE;2022;quantidade_total_ate_29;199.0;Colaboradores por faixa etária e gênero Homens Mulheres Total Até 29 anos 114 85 199;62, 154, 153, 155, 56
ENGIE;2022;quantidade_homens_30_50;680.0;Entre 30 e 50 anos 680 226 906;62, 154, 153, 155, 56
ENGIE;2022;quantidade_mulheres_30_50;226.0;"Colaboradores por faixa etária e gênero
Homens Mulheres Total
Até 29 anos 114 85 199
Entre 30 e 50 anos 680 226 906
Mais de 50 anos 97 13 110";62, 154, 153, 155, 56
ENGIE;2022;quantidade_total_30_50;906.0;Entre 30 e 50 anos 680 226 906;62, 154, 153, 155, 56
ENGIE;2022;quantidade_homens_mais_50;97.0;Mais de 50 anos 97 13 110;62, 154, 153, 155, 56
ENGIE;2022;quantidade_mulheres_mais_50;13.0;Mais de 50 anos 97 13 110;107, 62, 154, 153, 155
ENGIE;2022;quantidade_total_mais_50;110.0;Colaboradores por faixa etária e gênero Homens Mulheres Total Até 29 anos 114 85 199 Entre 30 e 50 anos 680 226 906 Mais de 50 anos 97 13 110;62, 154, 153, 155, 56
ENGIE;2022;percentual_mulheres_lideranca;0.185;Número de colaboradores por categoria funcional e gênero HOMENS MULHERES TOTAL Diretores 7 1 8 Gerentes 45 9 54;62, 154, 60, 153, 155
ENGIE;2022;percentual_pcd_total;0.03;Pessoas com deficiência ou necessidades especiais Ano Homens Mulheres Total 2021 22 13 35 2022 28 26 54;154, 153, 63, 155, 56
ENGIE;2022;quantidade_pcd_2022;0.0;O contexto fornecido não contém informações sobre a quantidade total de pessoas com deficiência (PCD) em 2022.;163, 154, 153, 63, 56
ENGIE;2022;percentual_energia_renovavel;0.9590000000000001;Ao estabelecer uma meta de capacidade renovável, a ENGIE Brasil Energia diminui consequentemente o consumo de fontes de energia não renováveis. Assim, contribui de forma expressiva para que o Grupo ENGIE cumpra tal compromisso – em 2022, mantinha 95,9% da energia provenientes de fontes renováveis, e a previsão é chegar a 100% ainda no primeiro semestre de 2023, conforme descrito aqui.;32, 44, 162, 123, 100
ENGIE;2022;percentual_reducao_emissoes_escopo_1;0.797;A ENGIE Brasil Energia realiza o controle rigo- grama Brasileiro GHG Protocol (PBGHGP), a seguir — redução de 79,7% em relação ao ano anterior, nas duas abordagens.;32, 164, 101, 103, 104
ENGIE;2022;percentual_reducao_emissoes_escopo_2;0.81;Em 2022, o indicador de emissões por geração - quantidade de gás carbônico emitido para a geração de 1 MWh - atingiu 44,0 kgCO e/MWh no controle operacional, e 33,9 kgCO e/MWh na abordagem de participação societária, uma redução em relação a 2021 de 81% e 82%, respectivamente.;32, 163, 101, 165, 104
ENGIE;2022;percentual_reducao_emissoes_escopo_3;0.61;O total de emissões do Escopo 3 da Companhia em 2022 totalizou 6.301,30 tCO e na abordagem por controle operacional e 6.241,64 tCO e na abordagem por participação societária, redução de 61%, se comparados ao ano anterior.;32, 164, 101, 103, 104
ENGIE;2022;quantidade_total_colaboradores;1.215;2022 891 324 1.215;62, 154, 153, 63, 56
ENGIE;2022;quantidade_homens_total;891.0;Total de colaboradores por gênero HOMENS MULHERES TOTAL 2022 891 324 1.215;62, 154, 153, 155, 56
ENGIE;2022;quantidade_mulheres_total;324.0;Total de colaboradores por gênero HOMENS MULHERES TOTAL 2022 891 324 1.215;62, 154, 153, 155, 56
ENGIE;2022;percentual_treinamento_diversidade;1.0;Em 2022, a totalidade dos contratados (100%) estava coberta por acordos de negociação coletiva, discutidos e firmados junto às entidades representativas listadas a seguir:;154, 153, 63, 155, 56
