empresa;Dado Extraído;Valor;Fonte (Texto Original);Página;ano
Bradesco;percentual_mulheres_lideranca_2024;0.304;Encerramos 2023 com 30,4% de mulheres em posições de liderança;22, 110, 4;2024
Bradesco;percentual_homens_lideranca_2024;0.6;em postos de liderança (de 35% para 40%);22, 110;2024
Bradesco;percentual_mulheres_total_2024;0.2;Contávamos no encerramento de 2023 com 20% de mulheres nas equipes corporativas, sendo um total de 129 mulheres;110, 111, 4;2024
Bradesco;percentual_homens_total_2024;79.6;Total (%) 79,6 % 80,8 % 82,0 % 20,4 % 19,2 % 18,0 %;110, 4, 102;2024
Bradesco;percentual_pcd_total_2024;0.4;0,4% do total na categoria funcional.;110, 112, 102;2024
Bradesco;percentual_raça_branca_total_2024;0.4;0,4% do total na categoria funcional.;22, 110, 112;2024
Bradesco;percentual_raça_negra_total_2024;0.4;0,4% do total na categoria funcional.;22, 110, 112;2024
Bradesco;percentual_raça_parda_total_2024;0.4;0,4% do total na categoria funcional.;22, 110, 112;2024
Bradesco;percentual_raça_amarela_total_2024;0.012;Amarelos 183 1,2% 180 1,2% ND ND;110, 112;2024
Bradesco;percentual_raça_indigena_total_2024;0.4;0,4% do total na categoria funcional.;110, 112;2024
Bradesco;percentual_funcionarios_menor_30_2024;0.4;0,4% do total na categoria funcional.;110, 4, 112;2024
Bradesco;percentual_funcionarios_30_50_2024;0.261;Dos integrantes, 26,1% têm idade entre 31 e 50 anos;180, 110, 112;2024
Bradesco;percentual_funcionarios_maior_50_2024;4.9;Total por idade (%)¹ 4,9 % 5,0 % 4,3 % 4,9 % 3,4 % 3,0 %;105, 110, 180, 112, 102;2024
Bradesco;percentual_energia_renovavel_2024;0.88;Atualmente, 88% da nossa capacidade instalada é renovável, de fontes hídrica, eólica...;46, 18, 39, 51, 201;2024
Bradesco;percentual_reducao_emissoes_escopo_1_2024;0.0;Porcentagem coberta por regulamentos de limitação de 0 %;46, 235, 40, 45;2024
Bradesco;percentual_reducao_emissoes_escopo_2_2024;0.0;Porcentagem coberta por regulamentos de limitação de 0 %;46, 45, 40, 235;2024
Bradesco;percentual_reducao_emissoes_escopo_3_2024;0.0;IF-EU-110a.1 (3) Porcentagem coberta por regulamentos de relatórios de 0 % emissões;46, 40, 235, 45;2024
Bradesco;percentual_mulheres_executivos_2024;0.304;de 2023 com 30,4% de mulheres em posições de liderança;22, 110, 4;2024
Bradesco;percentual_homens_executivos_2024;0.6;em postos de liderança (de 35% para 40%);22, 110;2024
Bradesco;percentual_meta_mulheres_executivos_2025;0.3;iniciativa Elas Lideram 2030, do Pacto Global da ONU, de ter pelo menos 30% de mulheres em cargos de alta liderança.;22, 110;2024
